"","JM1713_Rubideau","JM1714_Lunch_Creek","JM1715_Mineral_Creek_Spring","JM1741_McDonald_Creek_1","JM175_Mtn_Goat","JM1762_Mtn_Goat","JM1773_Lunch_Creek","JM1774_Crack_Spring","JM177_Piegan_North","JM179_Weeping_Wall"
"Otu00483",14,0,0,0,22,0,0,0,0,0
"Otu00484",0,0,0,0,0,0,0,0,0,2
"Otu00485",0,0,0,0,0,0,0,0,175,0
"Otu00487",0,0,0,0,0,0,1,0,0,14
"Otu00488",0,0,0,0,0,0,0,0,0,0
"Otu00489",0,0,17,0,11,0,0,155,0,0
"Otu00490",0,0,0,0,0,0,0,0,0,0
"Otu00491",0,0,0,0,0,0,0,0,0,0
"Otu00492",0,0,0,0,0,0,0,0,0,0
"Otu00493",0,0,0,0,0,0,13,0,0,0
"Otu00494",0,0,0,0,0,0,0,0,0,0
"Otu00495",0,2,0,2,0,0,9,2,0,0
"Otu00496",0,0,0,0,0,0,0,0,0,0
"Otu00497",0,0,0,0,0,0,0,0,0,0
"Otu00498",0,0,0,1,9,0,22,0,4,0
"Otu00499",0,3,0,3,0,0,0,162,0,0
"Otu00501",0,1,0,0,0,0,0,18,0,0
"Otu00502",0,8,0,0,0,0,3,12,0,0
"Otu00503",0,0,0,0,0,0,0,0,0,204
"Otu00504",0,0,0,0,0,0,0,0,0,0
"Otu00505",0,0,370,4,0,0,0,0,0,0
"Otu00506",0,0,2,6,0,0,0,0,0,0
"Otu00507",0,0,0,0,0,0,0,0,0,0
"Otu00509",65,7,1,2,24,0,0,9,0,1
"Otu00510",0,0,0,43,16,0,0,186,0,0
"Otu00511",0,0,0,0,0,0,10,22,0,0
"Otu00512",0,0,0,12,0,0,0,0,34,0
"Otu00513",9,0,0,0,0,0,32,0,0,0
"Otu00514",0,0,0,0,0,0,0,0,0,0
"Otu00515",0,0,0,0,0,0,0,0,0,0
"Otu00516",10,43,0,0,41,0,0,0,0,3
"Otu00517",0,3,0,1,13,0,0,14,0,0
"Otu00519",0,0,0,10,0,0,0,0,2,0
"Otu00520",0,0,6,142,0,0,19,69,0,0
"Otu00522",0,0,2,6,20,0,7,54,0,56
"Otu00523",0,0,0,0,0,0,0,0,0,0
"Otu00524",0,0,0,0,0,0,98,0,0,0
"Otu00525",0,0,0,7,0,0,0,0,0,0
"Otu00526",0,0,0,0,0,0,0,14,0,0
"Otu00527",0,0,0,0,2,0,0,2,0,0
"Otu00528",0,0,0,0,0,0,0,0,0,0
"Otu00529",0,0,0,0,0,0,1,0,125,0
