alt_sample_name,sample_name,date,SampleID_16S,SampleID_18S,bio_rep,location,sample_type,latitude,longitude,elevation_m,ysi_temp,ysi_do,ysi_spc,ysi_ph,ysi_orp,alkalinity_caco3,bicarbonate_hco3,calcium,chloride,magnesium,potassium,sio2,sodium,strontium,sulfate,tds,dist_from_summit,fi_Best,quadrant,quadrant_ew,region
Palmer B Spring 2,Palmer B Spring,7/23/17,JM1756_Palmer_B,,2,MH,Spring,45.35311155,-121.6494124,1677.01,3.3,9.62,18.3,6.66,241.8,13,15,1.75,0.237,0.13,0.42,22.9,2.1,0.014,0.195,36,4302,0.41,SE,East,Outlier
Palmer Meadow Seep,Palmer Meadow Seep,7/23/17,,,,MH,Spring,45.33171151,-121.6324631,1410,11.2,8.17,43.4,7.81,153.6,15,18,2.22,0.501,0.27,0.59,24.9,2.36,0.029,0.248,40,6816.3,0.47,SE,East,Outlier
Palmer-B Spring,Palmer B Spring,10/9/16,JM1614_Palmer_B_45,,2,MH,Spring,45.3531396,-121.6495011,1677.0096,3.6,10.27,16.6,6.22,310.3,15,18,1.76,,0.131,0.39,24.4,2.35,0.012,,39,4294.5,0.72,SE,East,Outlier
Palmer-B Spring,Palmer B Spring,10/9/16,JM1625_Palmer_B_20,,2,MH,Spring,45.3531396,-121.6495011,1677.0096,3.6,10.27,16.6,6.22,310.3,15,18,1.76,,0.131,0.39,24.4,2.35,0.012,,39,4294.5,0.72,SE,East,Outlier
The Real Buzzard Fountain,The Real Buzzard Fountain,7/17/18,,,,MH,Spring,45.27650109,-121.692807,1226.2104,4,9.7,34.7,6.21,171.1,,,,,,,,,,,,10794.3,0.02,SE,East,Outlier
Reynolds II Spring,Reynolds II Spring,7/28/18,,,,GNP,Spring,48.681946,-113.7327076,2183.28,4.1,10.53,34,7.46,86.5,,,,,,,,,,,,,0.8,,,Clements/Reynolds Region
Warm Spring 3,JM-WS3,9/16/19,,MtH18_E03,1,MH,Spring,45.2954325,-121.7393565,1162.812,25.6,0.95,1247,7.42,235.6,177,215,61.4,159,50.2,11.4,92.7,126,0.409,249,859,9328.5,0.86,SW,West,Warm Springs
Warm Spring 3,JM-WS3,9/16/19,,MtH29_F03,2,MH,Spring,45.2954325,-121.7393565,1162.812,25.6,0.95,1247,7.42,235.6,177,215,61.4,159,50.2,11.4,92.7,126,0.409,249,859,9328.5,0.86,SW,West,Warm Springs
Warm Spring 3,JM-WS3,9/16/19,,MtH30_F04,3,MH,Spring,45.2954325,-121.7393565,1162.812,25.6,0.95,1247,7.42,235.6,177,215,61.4,159,50.2,11.4,92.7,126,0.409,249,859,9328.5,0.86,SW,West,Warm Springs
Warm Spring 1,JM-WS1,9/15/19,,MtH21_E06,1,MH,Spring,45.29596599,-121.7395742,1164.6408,23.5,1.52,683,7.45,224.6,120,147,38.7,76.3,30.8,7.41,88.5,74.4,0.249,165,555,9279.6,0.69,SW,West,Warm Springs
Warm Spring 2,JM-WS2,9/15/19,,MtH19_E04,1,MH,Spring,45.29658328,-121.7400452,1185.672,18.2,3.09,463.1,7.51,203.5,85,104,21.2,32,16.4,4.47,72.4,45.2,0.143,96.8,341,9229.6,0.7,SW,West,Warm Springs
Mt Reynolds Snowpack,Mt Reynolds Snowpack,8/6/17,,,,GNP,Snow,48.68121109,-113.7325863,2201.27,1.4,10.7,29.3,7.86,175.3,,,,0.04,,,,,,,,,0.1,,,Snow
Camp Creek Spring,Camp Creek Spring,7/18/18,,,,MH,Spring,45.31425513,-121.7377782,1369.4664,2.9,8.82,103.1,5.83,205.6,,,,,,,,,,,,7363.5,0.49,SW,West,Palmer Region
Palmer Seep,Palmer Seep,7/21/18,,,,MH,Spring,45.33579912,-121.7067202,1859.8896,4.9,10.06,82.3,6.68,112.9,,,,,,,,,,,,4284.3,0.66,SW,West,Palmer Region
Still Creek Spring,Still Creek Spring,7/18/18,,,,MH,Spring,45.31868193,-121.7230327,1529.4864,2.9,10.74,81.4,6.18,191.3,,,,,,,,,,,,6460.7,0.47,SW,West,Palmer Region
West Fork Salmon Spring,West Fork Salmon Spring,7/18/18,,,,MH,Spring,45.31710064,-121.7184752,1536.4968,2.9,10.7,80.9,5.94,241.7,,,,,,,,,,,,6521.6,0.31,SW,West,Palmer Region
Sand Canyon Trib 2,Sand Canyon Trib 2,7/19/18,,,,MH,Spring,45.31323443,-121.747267,1311.5544,3.3,10.63,55.1,6.05,212.1,,,,,,,,,,,,7820.1,0.05,SW,West,Palmer Region
Zigzag Spring,Zigzag Spring,7/21/18,,,,MH,Spring,45.3457741,-121.7390436,1571.5488,4.5,11.01,44.8,6.27,123.8,,,,,,,,,,,,4575.8,0.33,SW,West,Zigzag Region
Warm Spring 3,JM-WS3,9/16/19,MtH17_D04_S272,MtH17_E02,0,MH,Spring,45.2954325,-121.7393565,1162.812,25.6,0.95,1247,7.42,235.6,177,215,61.4,159,50.2,11.4,92.7,126,0.409,249,859,9328.5,0.86,SW,West,Warm Springs
Warm Spring 4,JM-WS4,9/16/19,MtH27_E02_S294,MtH28_F02,0,MH,Spring,45.29641312,-121.738493,1165.5552,24.7,0.65,1144,7.4,209.1,158,193,57.5,137,46.9,10.1,89.1,110,0.369,232,780,9202.4,0.73,SW,West,Warm Springs
